id,title,latitude,longitude,gmaps
435,"""California State Polytechnic University-Pomona""",34.054273,-117.819019,t
436,"""California State University-Chico""",39.728003,-121.846333,t
437,"""California State University-Dominguez Hills""",33.86524,-118.259316,t
438,"""California State University-Fresno""",36.814477,-119.748258,t
439,"""California State University-Fullerton""",33.883627,-117.885349,t
440,"""California State University-East Bay""",37.65707,-122.058073,t
441,"""California State University-Long Beach""",33.782752,-118.1123,t
442,"""California State University-Los Angeles""",34.066927,-118.168965,t
443,"""California State University-Northridge""",34.23671,-118.526817,t
444,"""California State University-Sacramento""",38.55745,-121.42194,t
445,"""University of California-Davis""",38.539895,-121.751958,t
446,"""University of California-Riverside""",33.97588,-117.331098,t
447,"""University of California-San Francisco""",37.762736,-122.458049,t
448,"""University of California-Santa Barbara""",34.415461,-119.848071,t
449,"""University of California-Santa Cruz""",36.997258,-122.067993,t
450,"""Institute of Transpersonal Psychology""",37.430325,-122.10866,t
451,"""California Beauty School""",37.645217,-120.99689,t
452,"""California Christian College""",36.767596,-119.732752,t
453,"""California College-San Diego""",32.77018,-117.133809,t
454,"""California Culinary Academy""",37.765415,-122.402643,t
455,"""California Hair Design Academy""",32.765221,-117.024261,t
456,"""California Institute of the Arts""",34.393337,-118.567303,t
457,"""California Maritime Academy""",38.069061,-122.231551,t
458,"""California Western School of Law""",32.72194,-117.162597,t
459,"""Canada College""",37.447365,-122.265549,t
460,"""College of the Canyons""",34.403121,-118.569524,t
461,"""Career Academy of Beauty""",33.781018,-118.031697,t
462,"""Casa Loma College-Van Nuys""",34.195438,-118.448335,t
463,"""CET-San Diego""",32.711715,-117.122496,t
464,"""CET-Sobrato""",37.322723,-121.88698,t
465,"""CET-El Centro""",32.790908,-115.549079,t
466,"""CET-San Bernardino""",34.075136,-117.268738,t
467,"""CET-Watsonville""",36.931833,-121.767991,t
468,"""CET-Gilroy""",37.015671,-121.561429,t
469,"""CET-Salinas""",36.671635,-121.652791,t
470,"""Cerritos College""",33.88584,-118.097263,t
471,"""Cerro Coso Community College""",35.567763,-117.667706,t
472,"""Chabot College""",37.642513,-122.106969,t
473,"""Chaffey College""",34.14705,-117.573086,t
474,"""Chapman University""",33.793678,-117.851481,t
475,"""Charles R Drew University of Medicine and Science""",33.925658,-118.242791,t
476,"""Concordia University-Irvine""",33.6535,-117.81063,t
477,"""San Diego Christian College""",32.799999,-116.903073,t
478,"""Church Divinity School of the Pacific""",37.876169,-122.261391,t
479,"""Citrus College""",34.135487,-117.885266,t
480,"""City College of San Francisco""",37.725953,-122.451155,t
481,"""Claremont Graduate University""",34.103778,-117.712394,t
482,"""Claremont McKenna College""",34.102323,-117.706593,t
483,"""Milan Institute-Visalia""",36.284114,-119.313375,t
484,"""Clovis Adult Education""",36.836915,-119.69019,t
485,"""Coast Community College District Office""",33.669121,-117.911116,t
486,"""Coastline Community College""",33.609771,-117.861844,t
487,"""Cogswell College""",37.407027,-122.024177,t
488,"""Coleman University""",32.821962,-117.136493,t
489,"""COBA Academy""",33.788258,-117.85348,t
490,"""Western University of Health Sciences""",34.058092,-117.747732,t
491,"""Columbia College""",38.030361,-120.387603,t
492,"""Columbia College Hollywood""",34.179596,-118.538394,t
493,"""El Camino College-Compton Center""",33.876665,-118.209186,t
494,"""Western Beauty Institute""",34.227357,-118.449674,t
495,"""Contra Costa Community College District Office""",38.018943,-122.134774,t
496,"""Contra Costa College""",37.968623,-122.342386,t
497,"""Cosumnes River College""",38.453836,-121.422971,t
498,"""Crafton Hills College""",34.038513,-117.100826,t
499,"""Cuesta College""",35.329859,-120.741624,t
500,"""Cuyamaca College""",32.743072,-116.941044,t
501,"""Marinello Schools of Beauty-Bell""",33.978627,-118.193255,t
502,"""Cypress College""",33.827625,-118.023889,t
503,"""De Anza College""",37.319176,-122.045365,t
504,"""Marinello Schools of Beauty-Hemet""",33.746002,-116.999892,t
505,"""International School of Beauty Inc""",33.729555,-116.403928,t
